"text","timestamp"
"Lindo trabalho 👏👏","2023-09-07T00:07:48.000Z"
"👏👏👏","2023-09-07T11:34:53.000Z"
"👏👏👏👏","2023-09-07T16:47:37.000Z"
"Acho que deveria ter em todos os bairros e se possível permanente","2023-09-08T07:09:55.000Z"
"@dayyanneoliveira ❤️","2023-09-08T11:51:12.000Z"
"@marinetebastosnunes 💚🤩","2023-09-08T11:51:19.000Z"
"@juliane.lopes25 ❤️❤️❤️","2023-09-08T11:51:24.000Z"
"@ynez_pinheiro 🥰","2023-09-08T11:51:27.000Z"
"@sarareiarthur2008 🤩","2023-09-08T11:51:31.000Z"
"@csucupira47 💚💚💚","2023-09-08T11:51:35.000Z"
"@janetevieira_ap 🥰❤️","2023-09-08T11:51:39.000Z"
"@monteiroonelia 😻","2023-09-08T11:51:43.000Z"
"Minha mãe está aí 😍","2023-09-11T00:58:00.000Z"
"Tá tendo na ubs do Congós?","2023-09-06T16:12:06.000Z"
"@prefeiturademacapa amanhã vai funcionar normalmente as consultas nas ubs?","2023-09-06T19:11:00.000Z"
"Tá lindo!! 👏🏻👏🏻👏🏻","2023-09-06T19:32:09.000Z"
"Muito bom 👏","2023-09-06T20:05:54.000Z"
"Vai ter na UBS leozildo Barreto aqui no zerao?","2023-09-06T20:20:31.000Z"
"👏👏👏","2023-09-06T20:41:27.000Z"
"😍","2023-09-07T00:10:14.000Z"
"👏👏👏👏👏","2023-09-07T01:36:20.000Z"
"Cadê as  moradias prefeito","2023-09-07T03:59:49.000Z"
"O povo quer casa","2023-09-07T03:59:59.000Z"
"@brunalimb ❤️🥰","2023-09-08T11:51:49.000Z"
"@sarareiarthur2008 🤩","2023-09-08T11:51:52.000Z"
"@costadanilo_7 💖","2023-09-08T11:51:57.000Z"
"@larissola ❤️","2023-09-08T11:52:00.000Z"
"@valsilva5080 🤩❤️","2023-09-08T11:52:04.000Z"
"As ubs estão funcionando hoje para vacinação ?","2023-09-08T12:26:35.000Z"
"@grazieleteles_ Olá, Graziele! Sim","2023-09-08T13:41:29.000Z"
"Estaremos lá ❤️","2023-09-08T08:49:40.000Z"
"@helenamerico Vamos 🥳","2023-09-08T11:48:07.000Z"
"👏👏👏👏","2023-09-08T21:23:54.000Z"
"@ana.lvaz 🤩","2023-09-09T13:26:24.000Z"
"Dia 13, vamos lotar a avenida Fab! ✅","2023-09-09T15:35:42.000Z"
"Ainda vai na fab dia 13?","2023-09-11T20:47:23.000Z"
"👏🏻👏🏻👏🏻","2023-08-07T16:06:13.000Z"
"Já vou me cadastrar ❤️","2023-08-07T16:10:47.000Z"
"👏👏👏👏👏","2023-08-07T16:40:40.000Z"
"Supermercado?","2023-08-07T16:59:34.000Z"
"@fisiokarenlacerda ❤️😍","2023-08-07T18:17:09.000Z"
"@helenamerico Vamos 🥳","2023-08-07T18:17:19.000Z"
"@nazare.leal 😍","2023-08-07T18:17:22.000Z"
"As notas fiscais podem ser com datas desde o início do ano?","2023-08-07T21:45:59.000Z"
"E isso pode?","2023-08-08T11:28:10.000Z"
"@dmqa1969 também  queria  saber","2023-08-10T10:33:19.000Z"
"@dmqa1969 Somente notas fiscais de serviços, supermercado trata-se de venda de mercadorias portanto é comércio.","2023-08-18T02:57:25.000Z"
"@ianecarvalhoap Notas de serviços a partir do dia 07/07/23, data da publicação do regulamento (disponível no portal)","2023-08-18T03:01:39.000Z"
"@caroline.amoras ao contratar um serviço de transporte escolar, solicite a nota fiscal de serviços prestados. Aí é só realizar seu cadastro no portal, já vai estar concorrendo.","2023-08-18T03:05:28.000Z"
"@prefeiturademacpap, porque servidores não podem participar?","2023-08-18T10:09:43.000Z"
"@celestepq obrigada","2023-08-18T13:22:38.000Z"
"Me cadastrei , não temos que submeter as notas fiscais ? Pois tenho nota fiscal em meu nome e em meu cadastro diz que não aparece nada em meu CPF, e tenho como comprovar.","2023-08-18T19:23:57.000Z"
"👏👏👏👏👏👏","2023-08-18T21:14:08.000Z"
"Com o cadastro realizado, a regra é constar o CPF na Nota Fiscal de Serviços. O Sistema reconhece e transforma e cupom automaticamente.","2023-08-18T22:58:59.000Z"
"Qualquer dúvida/denúncia poderá ser relatada no Portal, no ícone “fale conosco”.","2023-08-18T23:00:57.000Z"
"@celestepq estranho pq todas as notas estão no meu CPF. Obrigada,  vou entrar em contato","2023-08-18T23:03:37.000Z"
"Finalmente… isso já existia em outros estados, estava esperando quando iam começar com essa prática aqui","2023-08-21T16:27:59.000Z"
"Como faço pra me cadastrar no nota legal?","2023-08-22T01:19:17.000Z"
"👏👏👏👏","2023-08-22T20:30:42.000Z"
"Boa tarde. Qual o contato da empresa responsavel por fazer a troca de lâmpadas dos postes? Pessoal da equatorial informaram que era de responsabilidade da prefeitura.","2023-08-30T16:47:40.000Z"
"Site está com algum problema? Pois tento acesso e somente erro!","2023-08-30T17:40:41.000Z"
"👏👏👏👏","2023-08-31T10:34:54.000Z"
"Existe algum contato do Papaleo paes ?","2023-08-31T13:55:53.000Z"
"Gostaria de saber o contato do tapa buraco. Estamos com um buraco imenso no asfalto aqui na rua.","2023-09-05T12:57:28.000Z"
"@edcvasconcellos gostaria de saber tb","2023-09-05T15:01:53.000Z"
"Falem sobre o conjunto Janary Nunes.","2023-09-06T14:51:50.000Z"
"Site fora do ar","2023-09-06T21:23:28.000Z"
"Site fora do ar","2023-09-06T22:14:26.000Z"
"@prefeiturademacapa  vai ter telão na praça do coco pra final de Flamengo x São Paulo na copa do Brasil dia 17/09 ???","2023-09-09T19:26:17.000Z"
"@prefeiturademacapa como faço para me inscrever no mercado central???? Ótima semana","2023-09-11T14:16:16.000Z"
"Oi, precisamos de mais segurança, de policiais pra Rodovia Norte Sul, pois estão assaltando.","2023-09-11T23:23:37.000Z"
"Zé Gotinha Bolsominion 😂😂😂","2023-09-08T14:05:45.000Z"
"Como faz pra participar?","2023-09-06T20:39:23.000Z"
"Site fora do ar","2023-09-06T21:22:41.000Z"
"Nota 10!👏","2023-09-06T22:10:52.000Z"
"Site fora do ar","2023-09-06T22:12:06.000Z"
"Quem pode participar?","2023-09-06T23:35:16.000Z"
"A ideia é ótima, mas os estabelecimentos continuam dando desculpas para não emitir a nota e não há nenhum canal de denúncia. Assim fica difícil, né!","2023-09-07T12:07:41.000Z"
"Fui no site fora do ar","2023-09-07T13:26:36.000Z"
"@castelloevandro","2023-09-07T13:38:40.000Z"
"@promotorfreelance21","2023-09-07T22:12:18.000Z"
"Como faço para cadastrar uma nota?","2023-09-07T23:09:03.000Z"
"@regi.monteiro19 Olá, Regi! Para participar é necessário exigir sua Nota Fiscal de Serviços Eletrônica (NFS-e), indicar seu CPF no ato da emissão da Nota, cadastrar no Portal Nota Macapá (macapa.ap.gov.br) e indicar o imóvel que receberá os créditos.","2023-09-08T11:53:53.000Z"
"@uchoaprincess 💖","2023-09-08T11:53:58.000Z"
"@pimentadilma Olá, Dilma! Para participar é necessário exigir sua Nota Fiscal de Serviços Eletrônica (NFS-e), indicar seu CPF no ato da emissão da Nota, cadastrar no Portal Nota Macapá (macapa.ap.gov.br) e indicar o imóvel que receberá os créditos.","2023-09-08T11:54:08.000Z"
"@aylaalme","2023-09-08T14:43:36.000Z"
"@rafaelacrvalho","2023-09-08T14:43:42.000Z"
"@o__gadelha","2023-09-08T14:43:51.000Z"
"Supermercado entra nos serviços?","2023-09-08T19:53:35.000Z"
"Exatamente","2023-09-08T20:09:24.000Z"
"Parabéns prefeitào Furlan 👏👏👏👏👏👏👏","2023-09-08T21:23:11.000Z"
"@janeide_batista ❤️🐶","2023-09-09T13:23:20.000Z"
"@dr.sergiomendonca.neuro.acup 👏👏👏","2023-09-09T13:23:30.000Z"
"@susubrito13 ❤️🐶","2023-09-09T13:23:36.000Z"
"@churrascodorei10 ❤️🐶","2023-09-09T13:23:41.000Z"
"@marq.cass ❤️🐶","2023-09-09T13:23:47.000Z"
"@sfellipe90 💖💖💖","2023-09-09T13:23:52.000Z"
"@maysepassos 🐶❤️","2023-09-09T13:23:56.000Z"
"@nazare.leal 🥳","2023-09-09T13:24:02.000Z"
"@janeide_batista ❤️🐶","2023-09-09T13:24:10.000Z"
"@flaviaviralatas.ap 💖🐶","2023-09-09T13:24:15.000Z"
"@rayane_nvasconcelos 💖🐶","2023-09-09T13:24:20.000Z"
"@marq.cass ❤️❤️❤️","2023-09-09T13:24:24.000Z"
"@gabrielgdes 🥳🐶","2023-09-09T13:24:29.000Z"
"@vivicantuaria ❤️❤️❤️","2023-09-09T13:24:33.000Z"
"❤️🐶","2023-09-09T13:24:40.000Z"
"👏❤️","2023-09-09T13:24:47.000Z"
"@matheusvncss ❤️🐶","2023-09-09T13:24:51.000Z"
"@tiene_rosario 😅","2023-09-09T13:25:00.000Z"
"@kkarlynha ❤️🐶","2023-09-09T13:25:04.000Z"
"@consolata_almeida ❤️🤩","2023-09-09T13:25:08.000Z"
"@maria2868alves ❤️❤️❤️","2023-09-09T13:25:12.000Z"
"@florarodriguesbeauty ❤️🥰","2023-09-09T13:25:17.000Z"
"@marymarolivr ❤️🐶","2023-09-09T13:25:21.000Z"
"@carlacarolinechagass ❤️❤️❤️","2023-09-09T13:25:26.000Z"
"@matheusvncss 🤩🐶","2023-09-09T13:25:30.000Z"
"@barretoregiane_ 🤩🐶","2023-09-09T13:25:36.000Z"
"@alimenteumgatoderua 👏👏👏","2023-09-09T13:25:40.000Z"
"@marainamartins ❤️🤩","2023-09-09T13:25:44.000Z"
"@tatianasolivier_ ❤️🐶","2023-09-09T13:25:48.000Z"
"@analimsacramento 🤩🤩🤩","2023-09-09T13:25:54.000Z"
"@ana.lvaz ❤️🐶","2023-09-09T13:25:57.000Z"
"@claudia_eleres_sousa ❤️🐶","2023-09-09T13:26:02.000Z"
"@andreasoares__ 🥰❤️","2023-09-09T13:26:06.000Z"
"❤️🐶","2023-09-09T13:26:10.000Z"
"😍","2023-09-09T13:29:56.000Z"
"@juciarams","2023-09-09T13:57:29.000Z"
"Vai até quando?","2023-09-09T14:25:56.000Z"
"@prefeiturademacapa gostaria de ter ficado por aí para trabalhar com esse prefeito. Tinha muitos projetos que com certeza com o Dr. Furlan iriam pra frente. De qualquer forma o Sr. está no caminho certo e a população só tem o que agradecer.","2023-09-09T14:33:29.000Z"
"@laizasophia  @glendaamanajas","2023-09-09T16:25:13.000Z"
"Tu não vai perder a EXPODOG, né? Pega teu melhor amigo, e te puxa pra lá 👏🏾🐕‍🦺🐶❤😍 @prefeiturademacapa","2023-09-09T18:22:25.000Z"
"👏👏👏👏👏❤️maravilhoso 😍","2023-09-09T18:58:57.000Z"
"Vai tem corte","2023-09-09T19:19:42.000Z"
"Nunca consegui nem vacinar o meu dog","2023-09-09T20:13:11.000Z"
"😍😍","2023-09-09T23:01:04.000Z"
"Que pena, perdi.","2023-09-10T01:30:54.000Z"
"👏👏👏👏👏👏👏","2023-09-10T03:04:46.000Z"
"@claraazevedocosta 😍😍😍","2023-09-10T04:38:19.000Z"
"😍👏👏👏👏👏👏👏","2023-09-10T11:48:29.000Z"
"Que li indo 😍😍","2023-09-10T19:36:05.000Z"
"@sfellipe90 ❤️❤️❤️","2023-09-12T11:49:20.000Z"
"Esperamos toda a população para prestigiar nossos agricultores! Tudo fresquinho","2023-09-09T10:36:28.000Z"
"@eduardofleuryap 💚💚💚","2023-09-09T13:20:43.000Z"
"Estamos na 29ª Feira de Agricultura e Arte, um ótimo momento para crescermos juntos e oferecer a sociedade o nosso melhor.","2023-09-09T16:48:37.000Z"
"Quero convidar a todos os expositores da FEIRA AGRICULTURA E ARTE, para fazermos um rede de engajamento um do outro, a partir do ato nos seguirmos aqui.","2023-09-09T16:51:05.000Z"
"Tem que trazer pro zerão, é bem complicado pra quem não tem transporte levar os animais","2023-09-03T18:28:41.000Z"
"Zona Norte por favor","2023-09-03T18:29:21.000Z"
"aqui pro Infraero 2 por favor, tenho 3 pets precisando de vacinação","2023-09-03T18:34:25.000Z"
"Tem que trazer pro bairro coração/porto do céu","2023-09-03T18:34:32.000Z"
"Os pontos fixos abrem sábado de manhã?","2023-09-03T19:13:13.000Z"
"Por que não tem mais um dia único pra todos os lugares? Tive a impressão de que nunca mais teve pra escola José Leoves 😕","2023-09-03T19:37:35.000Z"
"@rosildagomespinheiro amanhã o Bradd vai","2023-09-03T20:58:15.000Z"
"Seria bom se tivesse aqui na ubs do perpétuo socorro ou próximo.","2023-09-03T23:24:35.000Z"
"Aqui na praça do buritizal na caixa d água terá?","2023-09-03T23:47:08.000Z"
"Precisamos ter na primeira arena do Zerão 🙌🙌","2023-09-03T23:54:19.000Z"
"@leao.68.rep.ap Olá, Júnior! Em breve estaremos aí","2023-09-04T11:29:44.000Z"
"@lyvia_noleto Olá, Lyvia! Em breve estaremos aí","2023-09-04T11:29:53.000Z"
"@carlosdsouza01 Olá, Carlos! Em breve estaremos aí","2023-09-04T11:30:05.000Z"
"@gessicabsantos Olá, Géssica! Em breve estaremos aí","2023-09-04T11:30:23.000Z"
"@psi.driellypereiira Olá! Somente de segunda à sexta","2023-09-04T11:30:37.000Z"
"@krol_trindade Olá, Karol! Em breve estaremos aí","2023-09-04T11:30:48.000Z"
"@samiilesss Olá, Samile! Em breve estaremos aí","2023-09-04T11:30:58.000Z"
"@bastos_mila Olá, Mila! Em breve estaremos aí","2023-09-04T11:31:06.000Z"
"@prefeiturademacapa qual contato que posso fazer denuncia sobre mal tratos e abandono?","2023-09-04T11:56:21.000Z"
"@dila_mourao Olá, Dila! 190 🫡","2023-09-04T12:33:08.000Z"
"O site de emissão de nota fiscal está fora do ar? Desde sábado q não consigo","2023-09-04T12:42:50.000Z"
"@prefeiturademacapa já estiveram aqui e não adiantou. Até criança a cadela já mordeu, veio viatura e não fizeram nada. Ela está amarrada, literalmente abandonada nos fundos da casa e só tá sendo alimentada pelos vizinhos.","2023-09-04T13:28:22.000Z"
"@dila_mourao fica no sol direto e não temos como ficar com ela.","2023-09-04T13:29:35.000Z"
"Que maravilha 👏😍","2023-09-04T14:15:27.000Z"
"@brunossnascimento ❤️❤️❤️","2023-09-04T14:18:37.000Z"
"❤️","2023-09-04T14:20:10.000Z"
"Procurei o hospital de cães e gatos na fazendinha o atendimento foi negado porque não tenho CAD único sou autônomo lá é um hospital público os funcionários faz descaso do atendimento sendo que lá é um órgão público.","2023-09-04T14:32:37.000Z"
"@ageofhorror 🤩❤️","2023-09-04T14:37:23.000Z"
"Olá, Maxi! Sentimos muito pelo transtorno. Um dos requisitos para receber atendimento no Hospital Veterinário é o cadastro único, comprovando renda de até dois salários mínimos.","2023-09-04T14:58:58.000Z"
"@prefeiturademacapa eu não tenho CAD UNICO sou autônomo levei meus documentos, e falta de consciência pois trata-se de uma emergência lá e um local público","2023-09-04T15:42:55.000Z"
"Já fui 2x ao hospital veterinário buscar ajuda para animais resgatados e gostaria de deixar registrado o despreparo do veterinário que está atendendo no momento, que nem sequer examina o animal corretamente, parece ter nojo de pegar. Hoje fui com um gato que estava um abcesso enorme na boca, o animal nem estava se alimentando mais e este médico prescreveu comprimidos ENORMES para administrar ao bicho que, obviamente, não aguentou devido a estar com a via bucal praticamente congestionada devido a infecção. Já fui outra vez também com uma cachorra e este mesmo médico liberou o animal que estava cheio de pus na região da cabeça, dizendo que não era nada grave. ABSURDO","2023-09-04T15:43:28.000Z"
"@lizandra.belo lá é um local público pago com dinheiro de arrecadação todo mundo tem direito não interessa se é rico ou se é pobre","2023-09-04T15:44:29.000Z"
"@lizandra.belo as eleições tá chegando aí aí eles vão pagar de santo","2023-09-04T15:45:25.000Z"
"Tenho 12 gatos,necessito que venham em casa.","2023-09-04T20:03:06.000Z"
"@rosangela.r.vieira como podem me ajudar? Não tenho carro","2023-09-04T20:03:31.000Z"
"@prefeiturademacapa no aguardo","2023-09-04T21:37:33.000Z"
"Que maravilha! Dia 08 levaremos a nossa @muttmel para tomar a vacina Antirrábica . 👏👏👏❤️","2023-09-05T14:01:06.000Z"
"@lizandra.belo aconteceu o mesmo com a minha amiga, as médicas são ótimas, mas o médico não da atenção necessária quando sabe que está lidando com animais em situação vulnerável","2023-09-05T21:57:45.000Z"
"😍","2023-09-06T11:53:30.000Z"
"Por favor, venham para o novo horizonte","2023-09-06T12:56:29.000Z"
"Parabéns prefeito👏👏. Eu formada em Gestão Ambiental, fico muito feliz 😍","2023-09-05T23:16:32.000Z"
"Bacana","2023-09-05T23:16:42.000Z"
"👏👏👏👏👏👏","2023-09-05T23:23:59.000Z"
"👏👏👏👏","2023-09-06T00:54:56.000Z"
"@juliane.lopes25 ❤️😍","2023-09-06T11:48:25.000Z"
"@nazare.leal ❤️❤️❤️","2023-09-06T11:48:29.000Z"
"@sarareiarthur2008 🥰","2023-09-06T11:48:36.000Z"
"@zonitabastos 💪","2023-09-06T11:48:41.000Z"
"👏👏👏","2023-09-06T12:42:24.000Z"
"☺️👏🏻👏🏻👏🏻👏🏻","2023-09-06T19:02:11.000Z"
"Valorização para os agricultores 😍👏👏","2023-09-07T13:25:52.000Z"
"@janetevieira_ap 💖😍","2023-09-08T14:01:22.000Z"
"@rafaelaesteffans ❤️❤️❤️","2023-09-08T14:01:26.000Z"
"@lennydiias 👏👏👏","2023-09-08T14:01:36.000Z"
"👏👏👏👏👏","2023-09-06T00:15:46.000Z"
"👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻","2023-09-06T00:19:45.000Z"
"👏👏👏","2023-09-06T00:55:54.000Z"
"E aqui  na rua Santarém falta terminar na rua começaram a obra mas não terminaram","2023-09-06T01:27:36.000Z"
"😍👏👏","2023-09-06T01:45:25.000Z"
"Adorei ver o tanto de árvores novas na Claudomiro de Mosrrs. Vamos arborizar mais e mais essa cidade 🙏","2023-09-06T02:05:35.000Z"
"👏👏👏👏","2023-09-06T03:43:57.000Z"
"A 2 avenida do universidade  já tá no ponto de receber o asfalto @dr.furlan, estamos aguardando 🙏🙌","2023-09-06T03:45:17.000Z"
"Preitura olha para as crianças da Escola vera lucia do infraero 2,o prédio da escola ainda não está pronto e a área onde as crianças estão ta com risco de pegar fogo,POR FAVOR olhe para essas CRIANÇAS e PROFESSORES que estão trabalhando em área de risco.","2023-09-06T11:21:43.000Z"
"@brunossnascimento 😍❤️","2023-09-06T11:43:35.000Z"
"@francymsantos 💚","2023-09-06T11:43:41.000Z"
"@kiralima06 😍😍😍","2023-09-06T11:43:45.000Z"
"@ricky.amorim.9465 💚","2023-09-06T11:43:50.000Z"
"@francelyrabelo ❤️❤️❤️","2023-09-06T11:43:52.000Z"
"@jacquelinesousa10 Olá, Jacqueline! Pode deixar 💪🥰","2023-09-06T11:44:15.000Z"
"@caetanoadeir Olá, Caetano! A SEMOB conta com um canal de ouvidoria para que você possa fazer sua solicitação de forma rápida e segura, onde você pode expressar suas necessidades, sugestões e reclamações sobre as obras municipais. 
Whatsapp (96) 98813 4923 ou (96) 98802 8376","2023-09-06T11:44:24.000Z"
"@brancapreciosa Olá, Branca! Sentimos muito pelo transtorno. Iremos encaminhar sua demanda ao setor responsável para entender o que tem acontecido","2023-09-06T11:46:33.000Z"
"@ricky.amorim.9465 Olá, Ricky! A SEMOB conta com um canal de ouvidoria para que você possa fazer sua solicitação de forma rápida e segura, onde você pode expressar suas necessidades, sugestões e reclamações sobre as obras municipais. 
Whatsapp (96) 98813 4923 ou (96) 98802 8376","2023-09-06T11:46:42.000Z"
"O parceiro do prefeito que é o único que consegue trabalhar e receber da prefeitura de Macapá agradece e está torcendo para chegar aos R$ 2 bilhões em contrato com a pavimentação mais cara do mundo. Alô alô @policiafederal @ministerio_publico_federal @mpapoficial","2023-09-06T11:49:08.000Z"
"Gestão de trabalho e compromisso com o povo! 😍","2023-09-06T11:58:37.000Z"
"@_euanabel ❤️👏","2023-09-06T12:54:30.000Z"
"@prefeiturademacapa  concordo com a @Jacquelinesousa10","2023-09-06T13:00:22.000Z"
"Tá faltando o ramal do antigo balneário do avai","2023-09-06T13:04:09.000Z"
"Obrigada! Aguardo retorno 🤝🏻","2023-09-06T14:21:45.000Z"
"já pensaram também em terminar as obras de pavimentação? era melhor ter deixado a odilardo silva do jeito que estava. poeira, lama, sujeira dificultando a rotina de vários moradores dos arredores dessa rua.","2023-09-06T16:37:36.000Z"
"🥵🥵🥵🥵😡😡😡🤯🤯🤯cadê o novo horizonte? Avenida Anselmo Paulo Ramos, que se encontra abandonada 😳😡😠😡😤😤🤯🤯🤯dr Furlan","2023-09-06T17:02:17.000Z"
"@dr.furlan quero saber quando será a vez da Av: HERMES MONTEIRO DA SILVA NO BAIRRO NOVO HORIZONTE MACAPÁ vai receber os mesmos serviços da prefeitura de Macapá porque até então ser encontra abandonada pela atua gestão. Alôôô prefeitão é sua equipe da SEMOB?????","2023-09-06T20:50:35.000Z"
"E as avenidas 16 e 17 do marabaixo 3, nada ainda?","2023-09-06T23:15:19.000Z"
"Poderia dar um passada na rio Amazonas, infraero 1, todas as ruas estão ótimas, menos essa","2023-09-07T02:34:26.000Z"
"Tá bom já de asfalto e começa a fazer moradias ...O povo precisa e não só de alfalto","2023-09-07T03:47:17.000Z"
"Cadê o residencial janary","2023-09-07T03:47:40.000Z"
"👏parabéns, retiro minhas críticas, manteve um eleitor😂...obrigado prefeito e toda equipe ❤️","2023-09-07T10:10:12.000Z"
"👏👏👏👏","2023-09-07T13:29:02.000Z"
"👏👏","2023-09-07T18:05:24.000Z"
"Quando vão começar as obras na rua 2 do marabaixo 2?","2023-09-07T18:28:45.000Z"
"São muitas ruas amigo, tem que ter paciência, muitas obras pra pouco tempo de trabalho, Clecio ficou 8 anos na prefeitura e não fez nem metade do que o furlan está fazendo","2023-09-07T19:40:09.000Z"
"@marciobaratabarata precisa sim e de muito asfalto, ninguém merece viver em ruas só poeira, lama","2023-09-07T19:41:13.000Z"
"Muito bom, minha rua finalmente vai ser asfaltada, espero que façam mesmo antes das chuvas 😢😢","2023-09-07T22:12:19.000Z"
"@fran.lobatos2  não  meu amigo porque a um quarterão ele estão trabalhando não faz porque não é ano de eleição.","2023-09-08T00:51:18.000Z"
"@socorromarquesof ❤️🥰","2023-09-08T14:00:38.000Z"
"@naldocunhamelo 😍","2023-09-08T14:00:46.000Z"
"Parabéns prefeitào Furlan 👏👏👏👏👏👏","2023-09-08T21:10:16.000Z"
"@ nao tô dizendo que não precisa ...mas tem outras prioridades também.","2023-09-09T22:17:02.000Z"
"Termina a rua daqui de casaaa, fizeram as duas pontas bonitinhas e o meio continuou enburacado 😢","2023-09-10T14:28:28.000Z"
"""Quantidade não define qualidade.""
Já vimos que em muitos bairros, estão em obras, tem serviços de pavimentação, isso é legal, tá diferente? Pode até estar? Mas, seria mais legal, finalizarem os serviços nessas ruas, antes de iniciar em mais uma e deixar inacabada também daqui alguns meses.","2023-09-11T19:34:55.000Z"
"Pq só a arirambas? Enquanto isso a Juritis que fica no lado tá virando lixeira","2023-09-12T12:31:58.000Z"
"Que matéria 😍💚 valeu galera !!!","2023-09-05T16:34:22.000Z"
"Que lugar lindo! 😍 Viva a Amazônia","2023-09-05T16:34:26.000Z"
"Vem curtir o Bioparque @bioparquedaamazonia_ o melhor do Brasil 💚💚💚","2023-09-05T16:34:41.000Z"
"Até o modelo que faz a propaganda da @prefeiturademacapa é lindo deu até vontade de ir ao @bioparquedaamazonia_","2023-09-05T16:36:27.000Z"
"Que lindo 😍","2023-09-05T16:37:19.000Z"
"@geraldobiondi 💚🥰","2023-09-05T16:39:35.000Z"
"@geraldobiondi Vamos 🥳","2023-09-05T16:39:53.000Z"
"Amo esse lugar 🥹🌿","2023-09-05T16:40:05.000Z"
"@socorrobblobato 😅","2023-09-05T16:40:10.000Z"
"@_euanabel Demais 😍","2023-09-05T16:40:15.000Z"
"@brunossnascimento 💚💚💚","2023-09-05T16:40:20.000Z"
"Ahhh, que lindeza!!! 🥰 Esse lugar é incrível! Combina com o meu amor.😍👏👏👏","2023-09-05T16:56:24.000Z"
